DATE;VALUE
2017-02-08;20054.34
2017-02-09;20172.40
2017-02-10;20269.37
2017-02-13;20412.16
2017-02-14;20504.41
2017-02-15;20611.86
2017-02-16;20619.77
2017-02-17;20624.05
2017-02-20;#N/A
2017-02-21;20743.00
2017-02-22;20775.60
2017-02-23;20810.32
2017-02-24;20821.76
2017-02-27;20837.44
2017-02-28;20812.24
2017-03-01;21115.55
2017-03-02;21002.97
2017-03-03;21005.71
2017-03-06;20954.34
2017-03-07;20924.76
2017-03-08;20855.73
2017-03-09;20858.19
2017-03-10;20902.98
2017-03-13;20881.48
2017-03-14;#N/A
2017-03-17;20636.92
