Time,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7
1/1/15 7:32:15 AM CST,,,,,,,0
1/1/15 9:33:01 AM CST,,,,,1,1,
1/1/15 9:40:10 AM CST,,,,,0,0,
1/1/15 10:47:57 AM CST,,,,,1,1,
1/1/15 10:56:16 AM CST,,,,,0,0,
1/1/15 11:37:51 AM CST,,,,,1,1,
1/1/15 11:45:40 AM CST,,,,,0,0,
1/1/15 12:24:56 PM CST,,,,,1,1,
1/1/15 12:32:31 PM CST,,,,,0,0,
1/1/15 1:13:02 PM CST,,,,,1,1,
1/1/15 1:21:46 PM CST,,,,,0,0,
1/1/15 1:58:57 PM CST,,,,,1,1,
1/1/15 2:07:22 PM CST,,,,,0,0,
1/1/15 2:27:12 PM CST,,,,,1,1,
1/1/15 2:36:06 PM CST,,,,,0,0,
1/1/15 3:21:02 PM CST,,,,,1,1,
1/1/15 3:29:12 PM CST,,,,,0,0,
1/1/15 4:08:07 PM CST,,,,,1,1,
1/1/15 4:16:42 PM CST,,,,,0,0,
1/1/15 4:58:29 PM CST,,,,,1,1,
1/1/15 5:06:33 PM CST,,,,,0,0,
1/1/15 5:55:45 PM CST,,,,,1,1,
1/1/15 6:03:25 PM CST,,,,,0,0,
1/1/15 6:56:07 PM CST,,,,,1,1,
1/1/15 7:03:42 PM CST,,,,,0,0,
1/1/15 8:27:52 PM CST,,,,,1,1,
1/1/15 8:36:42 PM CST,,,,,0,0,
1/1/15 9:35:09 PM CST,,,,,1,1,
1/1/15 9:43:13 PM CST,,,,,0,0,
1/1/15 10:20:48 PM CST,,,,,,,1
1/2/15 7:32:04 AM CST,,,,,,,0
1/2/15 9:42:13 AM CST,,,,,1,1,
1/2/15 9:49:08 AM CST,,,,,0,0,
1/2/15 10:38:14 AM CST,,,,,1,1,
1/2/15 10:44:49 AM CST,,,,,0,0,
1/2/15 11:09:45 AM CST,,,,,1,1,
1/2/15 11:21:50 AM CST,,,,,0,0,
1/2/15 12:15:16 PM CST,,,,,1,1,
1/2/15 12:27:36 PM CST,,,,,0,0,
1/2/15 1:31:43 PM CST,,,,,1,1,
1/2/15 1:45:27 PM CST,,,,,0,0,
1/2/15 2:49:58 PM CST,,,,,1,1,
1/2/15 3:03:57 PM CST,,,,,0,0,
1/2/15 4:10:44 PM CST,,,,,1,1,
1/2/15 4:23:59 PM CST,,,,,0,0,
1/2/15 6:02:11 PM CST,,,,,1,1,
1/2/15 6:09:56 PM CST,,,,,0,0,
1/2/15 7:44:06 PM CST,,,,,1,1,
1/2/15 7:51:01 PM CST,,,,,0,0,
1/2/15 10:09:33 PM CST,,,,,1,1,
1/2/15 10:16:38 PM CST,,,,,0,0,
